Sl. No,District,Assault on Women with Intent to Outrage her Modesty - Incidents (I),Assault on Women with Intent to Outrage her Modesty - Victims (V),Assault on Women with Intent to Outrage her Modesty - R (Crime Rate),Assault on Women - I,Assault on Women - V,Assault on Women - R,Sexual Harrassment Total - I,Sexual Harrassment Total - V,Sexual Harrassment Total - R,SH At work/premises - I,SH At work/premises - V,SH At work/premises - R,SH in Public transport - I,SH in Public transport - V,SH in Public transport - R,SH in shelter homes for women and children - I,SH in shelter homes for women and children - V,SH in shelter homes for women and children - R,SH in Other places - I,SH in Other places - V,SH in Other places - R,"Assault or use of Criminal
Force on women with intent
to Disrobe (Sec.354B IPC) - I","Assault or use of Criminal
Force on women with intent
to Disrobe (Sec.354B IPC) - V","Assault or use of Criminal
Force on women with intent
to Disrobe (Sec.354B IPC) - R",Voyeurism - I,Voyeurism - V,Voyeurism - R,Stalking - I,Stalking - V,Stalking - R,Rape (Sec 376) - I,Rape - V,Rape - R,Attempt to Commit Rape (Sec.376/511) - I,Attempt to Commit Rape - V,Attempt to Commit Rape - R
33,Thoothukudi,36,36,3.9,36,36,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,1.6,0,0,0
34,Tiruppur,8,8,0.8,8,8,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0.5,0,0,0
35,Tiruppur City,3,3,1.2,3,3,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.8,0,0,0
36,Trichy,31,31,3.4,26,26,2.9,4,4,0.4,0,0,0,0,0,0,0,0,0,4,4,0.4,1,1,0.1,0,0,0,0,0,0,16,16,1.8,1,1,0.1
37,Trichy City,12,12,2.2,8,8,1.5,2,2,0.4,2,2,0.4,0,0,0,0,0,0,0,0,0,1,1,0.2,0,0,0,1,1,0.2,4,4,0.7,1,1,0.2
38,Vellore,9,9,1.1,9,9,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.2,0,0,0
39,Villupuram,17,17,1.6,17,17,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,1.7,0,0,0
40,Virudhunagar,15,15,1.5,9,9,0.9,4,4,0.4,0,0,0,0,0,0,0,0,0,4,4,0.4,0,0,0,1,1,0.1,1,1,0.1,18,18,1.7,1,1,0.1
41,Cyber Cell,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-
42,Other Units,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-
43,Chengalpattu,15,15,1.2,15,15,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0.7,0,0,0
44,Kallakurichi,7,7,0.9,7,7,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,2,0,0,0
45,Ranipet,13,13,2,7,7,1.1,3,3,0.5,0,0,0,0,0,0,0,0,0,3,3,0.5,2,2,0.3,0,0,0,1,1,0.2,1,1,0.2,0,0,0
46,Tiruppattur,11,11,1.7,11,11,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0.5,1,1,0.2
47,Tenkasi,22,22,2.9,15,15,2,2,2,0.3,1,1,0.1,0,0,0,1,1,0.1,0,0,0,2,2,0.3,3,3,0.4,0,0,0,3,3,0.4,0,0,0
,TOTAL,1077,1077,2.8,810,810,2.1,152,152,0.4,9,9,0,2,2,0,17,17,0,124,124,0.3,33,33,0.1,41,41,0.1,41,41,0.1,422,422,1.1,20,20,0.1
