Sl No,Districts/City,Assault on Women with Intent to Outrage her Modesty - Incidents (I),Assault on Women with Intent to Outrage her Modesty - Victims (V),Assault on Women with Intent to Outrage her Modesty - R (Crime Rate),Assault on Women - I,Assault on Women - V,Assault on Women - R,Sexual Harrassment Total - I,Sexual Harrassment Total - V,Sexual Harrassment Total - R,SH At work/premises - I,SH At work/premises - V,SH At work/premises - R,SH in Public transport - I,SH in Public transport - V,SH in Public transport - R,SH in shelter homes for women and children - I,SH in shelter homes for women and children - V,SH in shelter homes for women and children - R,SH in Other places - I,SH in Other places - V,SH in Other places - R,"Assault or use of Criminal
Force on women with intent
to Disrobe (Sec.354B IPC) - I","Assault or use of Criminal
Force on women with intent
to Disrobe (Sec.354B IPC) - V","Assault or use of Criminal
Force on women with intent
to Disrobe (Sec.354B IPC) - R",Voyeurism - I,Voyeurism - V,Voyeurism - R,Stalking - I,Stalking - V,Stalking - R,Rape (Sec 376) - I,Rape - V,Rape - R,Attempt to Commit Rape (Sec.376/511) - I,Attempt to Commit Rape - V,Attempt to Commit Rape - R
11.0,Karur,2,2,0.5,2,2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0.9,1,1,0.2
12.0,Krishnagiri,16,16,2.9,13,13,2.4,3,3,0.5,0,0,0,0,0,0,0,0,0,3,3,0.5,0,0,0,0,0,0,0,0,0,3,3,0.6,1,1,0.2
13.0,Madurai,80,80,4.7,62,62,3.6,13,13,0.7,2,2,0.1,0,0,0,0,0,0,11,11,0.6,2,2,0.1,5,5,0.3,0,0,0,22,22,1.3,8,8,0.5
14.0,Madurai City,69,69,8.1,5,5,0.6,65,65,7.5,0,0,0,0,0,0,0,0,0,65,65,7.5,0,0,0,0,0,0,0,0,0,22,22,2.6,0,0,0
15.0,Nagapattinam,12,12,5.9,8,8,4,2,2,1.1,0,0,0,0,0,0,0,0,0,2,2,1.1,1,1,0.3,0,0,0,1,1,0.5,4,4,1.9,2,2,0.8
16.0,Namakkal,18,18,3.6,18,18,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.3,0,0,0
17.0,Nilgiris,5,5,2.3,5,5,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.0,Perambalur,40,40,23.8,36,36,21.5,3,3,1.7,0,0,0,0,0,0,0,0,0,3,3,1.7,1,1,0.3,1,1,0.3,0,0,0,4,4,2.3,1,1,0.7
19.0,Pudukottai,20,30,4.2,20,30,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0.9,0,0,0
20.0,Ramnathapuram,10,10,2.5,10,10,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,1.2,2,2,0.6
21.0,Railway Chennai,9,9,-,9,9,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-
22.0,Railway Trichy,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,1,1,-,0,0,-
23.0,Salem,48,48,2.8,48,48,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,0.6,0,0,0
24.0,Salem City,22,22,4.1,11,11,2,7,7,1.4,2,2,0.5,5,5,0.9,0,0,0,0,0,0,1,1,0.2,0,0,0,2,2,0.5,8,8,1.6,0,0,0
25.0,Sivagangai,19,19,4.8,13,13,3.4,2,2,0.6,0,0,0,0,0,0,2,2,0.6,0,0,0,1,1,0.1,2,2,0.4,1,1,0.3,5,5,1.3,1,1,0.1
26.0,Thanjavur,57,57,8.1,57,57,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0.8,2,2,0.2
27.0,Theni,18,18,5,12,12,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.3,2,2,0.5,3,3,0.9,6,6,1.5,2,2,0.6
28.0,Thirunelveli,50,50,14.3,28,28,8.1,9,9,2.7,1,1,0.3,0,0,0,3,3,1,5,5,1.4,3,3,1,4,4,1.3,4,4,1.3,5,5,1.4,1,1,0.3
29.0,Thirunelveli City,10,10,7.5,4,4,2.8,4,4,2.8,0,0,0,1,1,0.8,0,0,0,3,3,2,1,1,0.4,1,1,0.4,2,2,1.2,2,2,1.2,0,0,0
30.0,Thiruvallur,12,12,1.7,7,7,1,1,1,0.2,0,0,0,0,0,0,0,0,0,1,1,0.2,1,1,0.1,2,2,0.2,2,2,0.2,4,4,0.6,0,0,0
31.0,Thiruvannamalai,12,12,1.7,8,8,1.1,3,3,0.4,0,0,0,0,0,0,0,0,0,3,3,0.4,1,1,0.1,0,0,0,1,1,0.1,9,9,1.2,1,1,0.1
32.0,Thiruvarur,21,21,5.8,19,19,5,1,1,0.3,0,0,0,0,0,0,0,0,0,1,1,0.3,1,1,0.1,0,0,0,1,1,0.3,4,4,1,0,0,0
33.0,Thoothukudi,37,37,7.3,19,19,3.7,12,12,2.4,0,0,0,0,0,0,0,0,0,12,12,2.4,3,3,0.6,2,2,0.3,1,1,0.2,6,6,1.2,2,2,0.3
34.0,Tiruppur,6,6,0.9,6,6,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0.5,0,0,0
35.0,Tiruppur City,4,4,3,3,3,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.8,1,1,0.8,0,0,0
36.0,Trichy,27,27,4.9,23,23,4.2,3,3,0.6,0,0,0,0,0,0,0,0,0,3,3,0.6,0,0,0,0,0,0,1,1,0.1,7,7,1.3,1,1,0.2
37.0,Trichy City,8,8,3.3,5,5,2,2,2,0.9,1,1,0.2,0,0,0,2,2,0.7,0,0,0,0,0,0,1,1,0.2,1,1,0.2,1,1,0.4,0,0,0
38.0,Vellore,8,8,1.7,8,8,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0.6,0,0,0
39.0,Villupuram,15,15,2.5,15,15,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,1.3,0,0,0
40.0,Virudhunagar,19,19,3.4,9,9,1.5,6,6,1,0,0,0,0,0,0,0,0,0,6,6,1,2,2,0.3,1,1,0.2,2,2,0.4,8,8,1.4,0,0,0
41.0,Cyber Cell,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-
42.0,Other Units,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-
43.0,Chengalpattu,8,8,1.2,8,8,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0.4,0,0,0
44.0,Kallakurichi,57,57,14,55,55,13.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.3,1,1,0.3,6,6,1.3,0,0,0
45.0,Ranipet,8,8,2.2,3,3,0.8,2,2,0.5,0,0,0,0,0,0,1,1,0.2,1,1,0.3,2,2,0.6,1,1,0.2,1,1,0.2,1,1,0.3,0,0,0
46.0,Tiruppattur,5,5,1.4,3,3,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.2,1,1,0.2,1,1,0.3,2,2,0.6,1,1,0.3
47.0,Tenkasi,38,38,9.2,21,21,5,9,9,2.1,0,0,0,0,0,0,0,0,0,9,9,2.1,2,2,0.5,2,2,0.4,5,5,1.2,4,4,1,0,0,0
48.0,Mayiladuthurai,38,38,14.1,32,32,11.9,3,3,1.2,0,0,0,0,0,0,0,0,0,3,3,1.2,2,2,0.6,0,0,0,1,1,0.4,2,2,0.6,1,1,0.4
49.0,Avadi,8,8,7.1,6,6,4.7,1,1,0.5,0,0,0,0,0,0,0,0,0,1,1,0.5,0,0,0,2,2,1.4,1,1,0.5,5,5,4.3,0,0,0
50.0,Tambaram,15,15,6.7,9,9,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,2.5,6,6,2.7,0,0,0
,TOTAL DISTRICT(S),908,919,4.3,646,657,3,134,134,0.6,4,4,0,10,10,0,8,8,0,113,113,0.5,32,32,0.2,30,31,0.1,64,64,0.3,201,201,0.9,23,23,0.1
