Sl No,District/City,Total Oral Complaints,Oral - Narrated to O/C /SHO,Oral -Distress Call over phone/dial 100,Total written complaints to police,Written - To O/C /SHO,Written - To SP/Senior officers,Written - Electronic form,Written Complaint to courts,Written - NHRC and SHRC,Written - SCs commissions,Written - STs commissions,Written - NCW/SCW,Written - Child welfare boards/commissions,Suo-moto police ocmplaints,Other Written Complaints,Total Complaints,data_source
27.0,Theni,5640,0,5640,22989,2606,3102,1849,18,20,1,0,29,0,3496,11868,28629,scrb_ncrb
28.0,Thirunelveli,4636,0,4636,25559,3654,1152,2023,28,0,0,0,0,7,2005,16690,30195,scrb_ncrb
29.0,Thirunelveli City,4102,0,4102,8529,1227,1413,799,30,12,0,0,0,0,2426,2622,12631,scrb_ncrb
30.0,Thiruvallur,4028,0,4028,27601,2529,1797,6040,1,12,12,0,21,1,4065,13124,31629,scrb_ncrb
31.0,Thiruvannamalai,7851,0,7851,30267,3932,2492,3425,3,0,0,0,0,0,4534,15881,38118,scrb_ncrb
32.0,Thiruvarur,3781,0,3781,20272,3622,1239,2773,0,24,9,0,25,0,3823,8759,24053,scrb_ncrb
33.0,Thoothukudi,12189,0,12189,40291,4368,2443,3308,51,5,5,0,0,0,3328,26783,52480,scrb_ncrb
34.0,Tiruppur,146,0,146,16567,2592,1338,1515,7,0,0,0,0,9,3062,8044,16712,scrb_ncrb
35.0,Tiruppur City,6200,0,6200,10080,1703,65,1400,6,8,4,0,8,0,2658,4228,16280,scrb_ncrb
36.0,Trichy,10632,0,10632,11801,2740,1732,1799,20,0,0,0,0,0,2929,2581,22433,scrb_ncrb
37.0,Trichy City,8271,0,8271,14696,2199,692,809,29,20,0,0,0,3,4950,5993,22967,scrb_ncrb
38.0,Vellore,6659,0,6659,24146,5118,1708,2570,0,14,12,1,29,2,3046,11646,30805,scrb_ncrb
39.0,Villupuram,8500,0,8500,43471,4891,2988,599,1,0,0,0,0,0,10199,24793,51971,scrb_ncrb
40.0,Virudhunagar,9532,0,9532,25782,5676,2037,605,63,31,25,0,23,0,3404,13917,35314,scrb_ncrb
41.0,Cyber Cell,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,scrb_ncrb
42.0,Other Units,0,0,0,210,10,0,0,0,0,0,0,0,0,200,0,210,scrb_ncrb
43.0,Chengalpattu,3128,0,3128,22348,2883,1588,1918,0,0,0,0,0,0,3889,12071,25476,scrb_ncrb
44.0,Kallakurichi,5140,0,5140,19606,2061,1921,1516,4,14,8,0,16,2,3986,10078,24747,scrb_ncrb
45.0,Ranipet,876,0,876,13678,2454,998,1719,0,0,0,0,0,0,1734,6773,14554,scrb_ncrb
46.0,Tiruppattur,4971,0,4971,14462,860,2471,1062,4,0,0,0,1,0,3404,6660,19433,scrb_ncrb
47.0,Tenkasi,3695,0,3695,21614,2648,1846,2183,21,0,0,0,0,0,1434,13482,25309,scrb_ncrb
48.0,Mayiladuthurai,1713,0,1713,19306,6311,1565,1698,8,5,7,0,7,3,2385,7318,21019,scrb_ncrb
49.0,Avadi,23242,0,23242,34301,3329,3368,4048,0,0,0,0,0,4,5394,18157,57543,scrb_ncrb
50.0,Tambaram,27336,0,27336,31334,3437,2462,3779,0,0,0,0,0,0,3385,18272,58670,scrb_ncrb
,TOTAL DISTRICT(S),417221,0,417221,1042020,167092,85125,120490,743,440,169,7,295,84,161132,506442,1459241,scrb_ncrb
