Districts,Assault on Women with Intent to Outrage her Modesty - Incidents (I),Assault on Women with Intent to Outrage her Modesty - Victims (V),Assault on Women with Intent to Outrage her Modesty - R (Crime Rate),Assault on Women - I,Assault on Women - V,Assault on Women - R,Sexual Harrassment Total - I,Sexual Harrassment Total - V,Sexual Harrassment Total - R,SH At work/premises - I,SH At work/premises - V,SH At work/premises - R,SH in Public transport - I,SH in Public transport - V,SH in Public transport - R,SH in shelter homes for women and children - I,SH in shelter homes for women and children - V,SH in shelter homes for women and children - R,SH in Other places - I,SH in Other places - V,SH in Other places - R,"Assault or use of Criminal
Force on women with intent
to Disrobe (Sec.354B IPC) - I","Assault or use of Criminal
Force on women with intent
to Disrobe (Sec.354B IPC) - V","Assault or use of Criminal
Force on women with intent
to Disrobe (Sec.354B IPC) - R",Voyeurism - I,Voyeurism - V,Voyeurism - R,Stalking - I,Stalking - V,Stalking - R,Rape (Sec 376) - I,Rape - V,Rape - R,Attempt to Commit Rape (Sec.376/511) - I,Attempt to Commit Rape - V,Attempt to Commit Rape - R
Salem City,29,29,6.6,19,19,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.5,3,3,0.7,5,5,1.1,2,2,0.5,0,0,0
Sivagangai,30,30,4.2,27,27,3.8,2,2,0.3,0,0,0,0,0,0,0,0,0,2,2,0.3,1,1,0.1,0,0,0,0,0,0,10,10,1.4,1,1,0.1
Thanjavur,138,138,10.8,138,138,10.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0.6,0,0,0
Theni,43,43,6.5,32,32,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.3,2,2,0.3,7,7,1.1,10,10,1.5,0,0,0
Thirunelveli,59,59,9.4,39,39,6.2,16,16,2.6,0,0,0,2,2,0.3,2,2,0.3,12,12,1.9,1,1,0.2,2,2,0.3,1,1,0.2,15,15,2.4,1,1,0.2
Thirunelveli City,18,18,7.1,5,5,2,6,6,2.4,0,0,0,0,0,0,0,0,0,6,6,2.4,1,1,0.4,2,2,0.8,4,4,1.6,1,1,0.4,0,0,0
Thiruvallur,14,14,1.1,11,11,0.9,2,2,0.2,0,0,0,0,0,0,0,0,0,2,2,0.2,0,0,0,0,0,0,1,1,0.1,11,11,0.9,2,2,0.2
Thiruvannamalai,22,22,1.7,13,13,1,5,5,0.4,0,0,0,0,0,0,0,0,0,5,5,0.4,1,1,0.1,0,0,0,3,3,0.2,8,8,0.6,1,1,0.1
Thiruvarur,13,13,1.9,13,13,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,1.3,0,0,0
Thoothukudi,42,42,4.5,22,22,2.4,15,15,1.6,0,0,0,0,0,0,0,0,0,15,15,1.6,1,1,0.1,2,2,0.2,2,2,0.2,14,14,1.5,1,1,0.1
Tiruppur,18,18,1.7,18,18,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0.7,0,0,0
Tiruppur City,2,2,0.8,2,2,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.8,0,0,0
Trichy,42,42,4.2,34,34,3.4,7,7,0.7,0,0,0,0,0,0,0,0,0,7,7,0.7,0,0,0,0,0,0,1,1,0.1,16,16,1.6,2,2,0.2
Trichy City,15,15,3.3,9,9,2,4,4,0.9,0,0,0,2,2,0.4,0,0,0,2,2,0.4,1,1,0.2,0,0,0,1,1,0.2,5,5,1.1,0,0,0
Vellore,13,13,1.6,7,7,0.8,1,1,0.1,0,0,0,0,0,0,0,0,0,1,1,0.1,1,1,0.1,0,0,0,4,4,0.5,2,2,0.2,0,0,0
Villupuram,14,14,1.3,14,14,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,22,2,0,0,0
Virudhunagar,33,33,3.2,18,18,1.7,8,8,0.8,0,0,0,0,0,0,0,0,0,8,8,0.8,1,1,0.1,2,2,0.2,4,4,0.4,17,17,1.6,0,0,0
Cyber Cell,0,0,,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-
Other Units,0,0,,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-
Chengalpattu,3,3,0.2,3,3,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0.7,0,0,0
Kallakurichi,38,38,5.1,38,38,5.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,1.1,0,0,0
Ranipet,13,13,2,4,4,0.6,2,2,0.3,0,0,0,0,0,0,0,0,0,2,2,0.3,3,3,0.5,0,0,0,4,4,0.6,0,0,0,0,0,0
Tiruppattur,15,16,2.4,14,15,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.2,4,4,0.6,0,0,0
Tenkasi,59,59,7.8,34,34,4.5,13,13,1.7,0,0,0,0,0,0,0,0,0,13,13,1.7,3,3,0.4,4,4,0.5,5,5,0.7,8,8,1.1,2,2,0.3
Avadi,8,8,3.8,3,3,1.4,1,1,0.5,0,0,0,0,0,0,0,0,0,1,1,0.5,0,0,0,3,3,1.4,1,1,0.5,10,10,4.8,0,0,0
Tambaram,6,6,1.5,6,6,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,4.3,0,0,0
Total Districts,1414,1417,3.7,1045,1048,2.7,243,243,0.6,15,15,0,15,15,0,2,2,0,211,211,0.5,28,28,0.1,32,32,0.1,66,66,0.2,421,421,1.1,21,21,0.1
